year,circuit,event_date,openmeteo_temp_mean,openmeteo_temp_max,openmeteo_temp_min,openmeteo_humidity,openmeteo_precip_mm,openmeteo_wind_speed,openmeteo_wind_dir,openmeteo_pressure,openmeteo_rain_flag
2014,Monaco Grand Prix,2014-05-25 12:00:00,21.3,28.2,17.7,38.1,0.0,17.0,263.2,996.9,0
2014,Russian Grand Prix,2014-10-12 11:00:00,28.3,33.1,24.2,34.7,0.0,4.4,33.6,1009.7,0
2014,Singapore Grand Prix,2014-09-21 12:00:00,29.0,35.4,26.8,51.4,0.0,25.3,255.1,1010.3,0
2014,Spanish Grand Prix,2014-05-11 12:00:00,23.8,29.8,21.4,60.7,0.0,7.0,239.4,1002.0,0
2014,United States Grand Prix,2014-11-02 20:00:00,28.4,33.8,26.0,67.0,0.0,24.6,209.8,1009.5,0
2015,Abu Dhabi Grand Prix,2015-11-29 13:00:00,22.2,28.7,19.9,73.7,0.0,17.2,309.4,1028.4,0
2015,Australian Grand Prix,2015-03-15 05:00:00,24.0,27.2,18.7,36.4,0.0,6.9,168.5,1014.7,0
2015,Austrian Grand Prix,2015-06-21 12:00:00,31.2,35.5,26.5,56.6,0.0,18.7,10.6,1004.0,0
2015,Bahrain Grand Prix,2015-04-19 15:00:00,23.8,29.1,21.6,56.6,0.0,6.7,235.2,1012.2,0
2015,Belgian Grand Prix,2015-08-23 12:00:00,19.7,26.4,15.6,58.0,0.0,11.3,153.3,1014.4,0
2015,Brazilian Grand Prix,2015-11-15 16:00:00,23.1,30.2,20.3,79.5,0.0,10.2,150.2,1003.2,0
2015,British Grand Prix,2015-07-05 12:00:00,25.4,28.9,23.1,39.1,0.0,12.1,85.8,1011.9,0
2015,Canadian Grand Prix,2015-06-07 18:00:00,25.6,27.7,21.7,52.8,0.0,29.4,355.8,1019.9,0
2015,Chinese Grand Prix,2015-04-12 06:00:00,20.5,27.3,15.3,50.6,0.0,13.3,75.0,1015.8,0
2015,Hungarian Grand Prix,2015-07-26 12:00:00,38.2,40.3,35.1,46.8,0.0,20.3,180.7,1016.7,0
2015,Italian Grand Prix,2015-09-06 12:00:00,21.6,25.4,17.0,31.2,0.0,12.3,101.2,1009.4,0
2015,Japanese Grand Prix,2015-09-27 05:00:00,29.9,32.0,24.3,15.4,0.5,20.4,5.8,998.8,0
2015,Malaysian Grand Prix,2015-03-29 07:00:00,28.3,32.4,22.5,47.2,0.7,21.2,53.6,1011.1,0
2015,Mexican Grand Prix,2015-11-01 19:00:00,24.4,28.6,20.2,55.8,0.0,17.1,204.5,1009.8,0
2015,Monaco Grand Prix,2015-05-24 12:00:00,28.7,33.4,22.9,28.8,0.0,9.2,211.5,996.1,0
2015,Russian Grand Prix,2015-10-11 11:00:00,26.6,34.1,23.8,66.4,0.0,14.0,18.8,1011.4,0
2015,Singapore Grand Prix,2015-09-20 12:00:00,13.9,19.5,8.6,32.2,0.0,18.5,120.8,1015.8,0
2015,Spanish Grand Prix,2015-05-10 12:00:00,17.8,25.4,12.2,26.1,0.0,4.8,125.6,1006.3,0
2015,United States Grand Prix,2015-10-25 19:00:00,16.4,23.7,11.1,69.8,0.0,5.2,255.5,1001.2,0
2016,Australian Grand Prix,2016-03-20 05:00:00,25.4,28.3,23.0,64.4,0.0,11.5,217.1,1006.2,0
2016,Austrian Grand Prix,2016-07-03 12:00:00,32.6,36.3,27.6,19.4,0.0,6.5,201.5,1019.7,0
2016,Bahrain Grand Prix,2016-04-03 15:00:00,29.7,33.1,24.7,18.9,0.0,15.1,280.0,1021.2,0
2016,Belgian Grand Prix,2016-08-28 12:00:00,29.7,33.7,23.9,46.1,0.0,9.1,236.8,1020.5,0
2016,Brazilian Grand Prix,2016-11-13 16:00:00,31.1,37.1,29.1,74.0,0.0,23.6,31.5,1011.7,0
2016,British Grand Prix,2016-07-10 12:00:00,29.3,32.6,25.6,52.1,0.0,8.3,78.5,999.5,0
2016,Canadian Grand Prix,2016-06-12 18:00:00,24.9,32.4,22.8,76.5,0.0,12.7,254.6,1017.5,0
2016,Chinese Grand Prix,2016-04-17 06:00:00,6.3,12.0,2.8,40.3,0.0,16.8,220.3,1011.5,0
2016,European Grand Prix,2016-06-19 13:00:00,22.4,26.2,16.6,46.9,0.0,14.2,293.7,1024.3,0
2016,German Grand Prix,2016-07-31 12:00:00,25.8,28.3,22.7,58.2,0.0,3.5,97.7,1007.1,0
2016,Hungarian Grand Prix,2016-07-24 12:00:00,17.4,22.1,13.7,47.9,0.0,15.8,133.9,1004.8,0
2016,Malaysian Grand Prix,2016-10-02 07:00:00,23.2,28.3,20.8,67.1,1.5,11.1,33.6,1019.8,1
2016,Monaco Grand Prix,2016-05-29 12:00:00,23.8,28.6,20.3,75.8,0.0,16.9,195.4,1015.1,0
2016,Russian Grand Prix,2016-05-01 12:00:00,28.7,31.7,24.3,71.5,0.0,10.6,86.0,1016.6,0
2016,Spanish Grand Prix,2016-05-15 12:00:00,19.2,25.7,16.3,78.9,0.0,11.6,32.3,1014.1,0
2017,Albert Park,2017-03-08 00:00:00,35.1,39.8,32.0,69.9,0.0,13.3,291.8,1010.9,0
2017,Austin,2017-07-08 00:00:00,28.1,30.1,22.2,37.4,0.0,12.8,317.8,1015.4,0
2017,Bahrain,2017-03-22 00:00:00,24.9,32.0,22.4,68.9,0.0,10.6,321.8,999.9,0
2017,Baku,2017-05-01 00:00:00,6.7,13.5,1.2,52.7,0.0,14.3,332.1,1021.5,0
2017,Barcelona,2017-04-08 00:00:00,18.7,23.1,14.8,32.0,0.0,19.1,222.2,1012.0,0
2017,Hungaroring,2017-05-22 00:00:00,24.8,31.5,20.7,50.6,0.0,10.8,12.2,1005.5,0
2017,Interlagos,2017-07-22 00:00:00,26.3,31.7,21.4,58.0,0.6,7.2,241.6,1009.7,0
2017,Mexico City,2017-07-15 00:00:00,27.1,33.9,22.6,25.5,0.0,7.8,13.8,1026.7,0
2017,Monaco,2017-04-15 00:00:00,33.8,40.3,31.4,57.6,0.0,14.3,294.2,999.8,0
2017,Montreal,2017-04-22 00:00:00,26.9,29.1,21.9,32.3,0.0,19.2,189.7,1000.3,0
2017,Monza,2017-06-08 00:00:00,26.4,31.1,23.1,74.2,0.1,13.7,102.4,1027.5,0
2017,Red Bull Ring,2017-05-08 00:00:00,25.5,32.6,19.7,63.8,0.0,20.5,251.3,1016.9,0
2017,Sepang,2017-06-22 00:00:00,30.4,32.6,26.3,69.7,0.0,20.9,285.4,1022.9,0
2017,Shanghai,2017-03-15 00:00:00,24.5,29.6,20.7,26.1,0.0,7.3,238.8,1010.5,0
2017,Silverstone,2017-05-15 00:00:00,22.8,28.6,19.0,55.8,0.7,13.4,80.3,1023.5,0
2017,Singapore,2017-06-15 00:00:00,20.2,28.0,18.1,50.4,0.0,13.2,54.6,999.2,0
2017,Sochi,2017-04-01 00:00:00,28.2,35.8,22.7,52.4,0.0,15.8,140.9,1029.3,0
2017,Spa,2017-06-01 00:00:00,34.8,38.4,31.4,79.1,0.0,13.0,343.5,999.8,0
2017,Suzuka,2017-07-01 00:00:00,39.5,42.9,34.3,47.7,0.0,13.1,315.2,1013.3,0
2017,Yas Marina,2017-08-01 00:00:00,11.1,17.1,6.1,41.9,0.0,10.9,291.7,1007.9,0
2018,Australian Grand Prix,2018-03-25 00:00:00,29.3,34.8,25.2,29.5,0.0,14.5,275.3,1015.2,0
2018,Austrian Grand Prix,2018-07-01 00:00:00,26.0,30.3,20.9,66.4,0.0,22.2,158.6,1007.9,0
2018,Azerbaijan Grand Prix,2018-04-29 00:00:00,6.5,9.7,3.4,26.4,0.0,7.7,174.3,1011.7,0
2018,Bahrain Grand Prix,2018-04-08 00:00:00,34.1,41.2,28.3,42.7,0.0,17.7,104.4,999.8,0
2018,Canadian Grand Prix,2018-06-10 00:00:00,15.7,18.7,10.1,55.1,0.0,24.5,223.6,1024.1,0
2018,Chinese Grand Prix,2018-04-15 00:00:00,26.7,33.5,21.2,50.8,0.0,14.3,37.3,1008.5,0
2018,French Grand Prix,2018-06-24 00:00:00,34.8,41.0,31.8,72.5,0.0,14.2,121.9,1005.3,0
2018,Monaco Grand Prix,2018-05-27 00:00:00,32.8,38.0,27.7,57.9,0.0,9.3,222.8,1005.1,0
2018,Spanish Grand Prix,2018-05-13 00:00:00,43.9,51.6,38.3,55.6,0.0,20.6,271.6,1013.9,0
2019,Albert Park,2019-03-08 00:00:00,21.6,28.1,19.1,29.9,0.0,5.0,279.1,1024.6,0
2019,Austin,2019-07-22 00:00:00,34.2,42.1,29.2,60.4,0.0,20.4,196.1,1033.9,0
2019,Bahrain,2019-03-15 00:00:00,30.1,37.2,24.8,34.3,0.0,9.1,126.6,1005.9,0
2019,Baku,2019-04-01 00:00:00,21.8,24.1,18.5,48.2,0.0,6.9,331.3,1013.4,0
2019,Barcelona,2019-04-08 00:00:00,24.1,29.0,20.8,34.1,0.0,18.5,36.1,1002.8,0
2019,Hockenheim,2019-05-22 00:00:00,11.6,17.0,9.6,65.8,0.0,7.5,305.2,997.5,0
2019,Hungaroring,2019-06-01 00:00:00,26.7,31.3,23.9,69.4,0.0,21.7,348.0,1024.2,0
2019,Interlagos,2019-08-01 00:00:00,25.8,30.0,23.5,41.7,0.0,20.0,70.7,1007.6,0
2019,Mexico City,2019-07-15 00:00:00,32.2,36.1,26.4,33.9,0.8,19.5,181.2,1011.4,0
2019,Monaco,2019-04-15 00:00:00,35.1,42.8,31.1,31.0,0.0,9.2,270.6,1006.9,0
2019,Montreal,2019-04-22 00:00:00,43.5,47.9,38.2,41.6,0.0,12.4,282.8,998.2,0
2019,Monza,2019-06-15 00:00:00,43.1,49.1,37.2,67.5,0.0,20.1,252.4,1016.5,0
2019,Paul Ricard,2019-05-01 00:00:00,34.2,39.8,30.3,78.5,1.1,8.3,84.0,1015.3,1
2019,Red Bull Ring,2019-05-08 00:00:00,25.8,32.3,20.8,53.2,0.0,5.5,258.8,1002.2,0
2019,Shanghai,2019-03-22 00:00:00,26.3,30.5,22.6,37.9,0.0,16.9,263.8,1015.5,0
2019,Silverstone,2019-05-15 00:00:00,30.8,33.3,28.5,90.0,0.0,10.4,304.5,1008.0,0
2019,Singapore,2019-06-22 00:00:00,21.8,25.0,15.9,52.2,0.0,8.9,40.5,1004.3,0
2019,Sochi,2019-07-01 00:00:00,28.1,34.2,23.3,57.8,0.0,11.1,165.0,1018.7,0
2019,Spa,2019-06-08 00:00:00,28.7,33.7,24.9,68.5,0.0,14.9,7.8,1029.4,0
2019,Suzuka,2019-07-08 00:00:00,9.0,16.9,5.5,74.9,0.1,10.1,137.6,1012.4,0
2019,Yas Marina,2019-08-08 00:00:00,25.3,30.1,23.2,44.1,0.0,21.2,58.8,1007.8,0
2020,Bahrain,2020-06-22 00:00:00,32.2,39.0,28.6,71.0,0.0,4.8,261.8,999.8,0
2020,Barcelona,2020-04-15 00:00:00,13.1,21.1,9.7,74.8,0.1,13.2,90.0,1022.8,0
2020,Hungaroring,2020-03-22 00:00:00,16.7,21.6,12.9,32.3,0.0,3.1,179.1,993.7,0
2020,Imola,2020-06-08 00:00:00,21.7,25.1,17.6,18.3,0.0,30.3,214.1,1016.5,0
2020,Istanbul,2020-06-15 00:00:00,26.1,30.1,22.2,48.4,0.0,22.3,8.9,1009.5,0
2020,Monza,2020-05-01 00:00:00,33.1,40.9,30.8,29.9,0.0,9.4,166.8,1003.7,0
2020,Mugello,2020-05-08 00:00:00,26.4,30.5,24.4,42.6,0.6,20.2,106.2,1002.0,0
2020,Nurburgring,2020-05-22 00:00:00,25.9,28.1,22.7,39.8,0.0,14.0,176.1,1035.6,0
2020,Portimao,2020-06-01 00:00:00,19.6,26.4,17.3,58.0,0.0,6.6,334.7,1007.8,0
2020,Red Bull Ring,2020-03-08 00:00:00,24.5,30.2,20.9,88.5,0.3,20.6,161.0,1016.8,0
2020,Silverstone,2020-04-01 00:00:00,23.6,29.0,18.9,70.6,0.4,10.4,15.4,1003.5,0
2020,Sochi,2020-05-15 00:00:00,26.7,30.5,21.1,33.8,0.0,21.5,317.1,1000.7,0
2020,Spa,2020-04-22 00:00:00,22.6,30.1,18.1,74.4,0.0,12.8,254.3,988.9,0
2020,Yas Marina,2020-07-08 00:00:00,24.4,26.6,22.1,46.9,0.0,24.0,39.3,1016.0,0
2021,Austin,2021-07-01 00:00:00,19.8,22.9,15.1,70.2,0.0,13.4,28.2,1013.9,0
2021,Bahrain,2021-03-08 00:00:00,21.2,26.6,18.1,57.4,0.0,14.0,158.4,1019.6,0
2021,Baku,2021-04-15 00:00:00,26.4,31.5,23.3,35.0,0.0,11.4,67.6,1014.5,0
2021,Barcelona,2021-04-01 00:00:00,13.9,20.7,8.1,66.2,0.0,25.0,60.6,1016.3,0
2021,Hungaroring,2021-05-15 00:00:00,25.4,28.3,21.8,34.9,0.0,16.3,259.0,1028.2,0
2021,Imola,2021-03-15 00:00:00,23.1,26.1,19.8,53.0,0.0,20.8,147.3,1023.0,0
2021,Interlagos,2021-07-15 00:00:00,19.3,24.7,15.7,51.5,0.0,27.0,333.9,1013.6,0
2021,Istanbul,2021-06-22 00:00:00,28.4,36.4,25.5,56.3,0.0,18.8,248.8,1016.0,0
2021,Jeddah,2021-08-01 00:00:00,27.4,35.0,25.0,68.4,0.0,12.3,301.7,1015.2,0
2021,Losail,2021-07-22 00:00:00,33.2,39.4,29.9,51.2,0.0,13.3,17.0,1024.7,0
2021,Mexico City,2021-07-08 00:00:00,25.3,27.7,21.3,14.1,0.0,9.5,258.5,1016.0,0
2021,Monaco,2021-04-08 00:00:00,24.9,28.7,20.1,53.0,0.2,21.4,262.3,1008.3,0
2021,Monza,2021-06-08 00:00:00,29.0,34.0,23.1,42.3,0.0,17.5,236.9,1008.2,0
2021,Paul Ricard,2021-04-22 00:00:00,16.1,24.0,14.1,63.8,0.0,19.5,343.7,1008.2,0
2021,Portimao,2021-03-22 00:00:00,24.7,27.3,19.3,14.7,0.0,8.9,268.9,1020.8,0
2021,Red Bull Ring,2021-05-01 00:00:00,23.7,27.7,18.8,73.2,0.0,0.4,271.1,1009.3,0
2021,Sochi,2021-06-15 00:00:00,20.6,24.0,15.2,76.2,0.0,4.9,270.1,1018.1,0
2021,Spa,2021-05-22 00:00:00,27.7,30.0,24.0,18.1,0.0,15.8,136.8,1031.4,0
2021,Yas Marina,2021-08-08 00:00:00,23.7,31.4,20.9,49.4,0.5,11.6,275.0,1008.1,0
2021,Zandvoort,2021-06-01 00:00:00,15.3,23.1,11.5,86.2,0.0,13.7,87.4,1001.9,0
2022,Albert Park,2022-03-22 00:00:00,27.2,33.8,21.3,67.3,0.0,12.1,257.8,1013.2,0
2022,Austin,2022-07-22 00:00:00,28.7,34.0,26.1,61.1,0.0,11.0,173.2,995.2,0
2022,Bahrain,2022-03-08 00:00:00,31.4,38.6,28.3,45.8,0.0,4.8,108.8,993.7,0
2022,Baku,2022-05-01 00:00:00,20.5,23.9,15.7,65.2,0.0,8.8,286.0,1018.7,0
2022,Barcelona,2022-04-15 00:00:00,25.3,28.9,21.9,59.2,0.0,12.6,289.2,1001.7,0
2022,Hungaroring,2022-06-08 00:00:00,30.4,36.1,28.3,71.7,0.2,13.5,186.5,1020.0,0
2022,Imola,2022-04-01 00:00:00,23.4,30.8,20.7,57.9,0.3,14.9,98.9,1024.8,0
2022,Interlagos,2022-08-08 00:00:00,26.4,32.6,21.7,49.2,0.0,8.9,60.0,1014.9,0
2022,Jeddah,2022-03-15 00:00:00,15.0,22.7,9.7,38.9,0.0,18.6,96.6,1020.1,0
2022,Mexico City,2022-08-01 00:00:00,20.7,25.5,18.4,40.9,0.0,4.1,353.6,1016.1,0
2022,Miami,2022-04-08 00:00:00,28.1,33.7,25.6,48.5,0.0,10.5,312.1,1015.6,0
2022,Monaco,2022-04-22 00:00:00,29.0,35.0,24.7,58.0,0.4,7.2,125.3,1014.1,0
2022,Montreal,2022-05-08 00:00:00,35.3,43.1,30.0,48.0,0.0,11.2,299.8,1014.6,0
2022,Monza,2022-07-01 00:00:00,34.8,37.3,29.2,52.0,0.0,19.2,294.2,1019.2,0
2022,Paul Ricard,2022-06-01 00:00:00,37.2,42.2,32.1,68.3,0.0,5.8,201.0,1012.0,0
2022,Red Bull Ring,2022-05-22 00:00:00,27.1,31.4,24.8,51.8,0.0,14.3,298.2,1024.2,0
2022,Silverstone,2022-05-15 00:00:00,30.3,35.6,27.1,50.3,0.0,16.4,176.5,1023.7,0
2022,Singapore,2022-07-08 00:00:00,23.6,31.0,21.4,23.9,0.0,24.4,71.6,1023.3,0
2022,Spa,2022-06-15 00:00:00,21.5,29.1,18.9,83.4,0.0,16.0,272.4,1017.8,0
2022,Suzuka,2022-07-15 00:00:00,36.7,41.8,32.7,57.7,0.0,11.4,48.4,1023.0,0
2022,Yas Marina,2022-08-15 00:00:00,16.7,23.1,14.3,98.9,0.0,17.2,100.2,996.8,0
2022,Zandvoort,2022-06-22 00:00:00,30.7,32.9,28.2,40.6,0.0,27.3,138.4,1002.3,0
2023,Albert Park,2023-03-22 00:00:00,34.3,36.9,28.7,80.1,0.0,9.9,240.5,991.8,0
2023,Austin,2023-07-22 00:00:00,6.5,9.7,3.8,62.3,0.1,16.4,126.0,1023.1,0
2023,Bahrain,2023-03-08 00:00:00,31.7,36.1,28.6,95.0,0.0,17.3,344.0,1021.1,0
2023,Baku,2023-04-01 00:00:00,26.9,30.5,21.3,46.3,0.0,12.7,39.3,1015.3,0
2023,Barcelona,2023-05-01 00:00:00,29.0,32.5,23.7,33.1,0.5,27.1,349.4,1027.6,0
2023,Hungaroring,2023-06-01 00:00:00,30.7,33.6,28.5,47.6,0.0,22.2,139.2,1006.8,0
2023,Imola,2023-04-15 00:00:00,17.3,25.2,14.0,61.3,0.0,10.8,196.4,1015.6,0
2023,Interlagos,2023-08-08 00:00:00,21.4,27.8,16.5,68.1,0.0,10.4,65.5,1000.6,0
2023,Jeddah,2023-03-15 00:00:00,39.7,46.9,36.5,50.7,0.0,5.9,133.2,1018.2,0
2023,Las Vegas,2023-08-15 00:00:00,33.8,37.9,31.2,58.3,0.0,7.1,265.3,1020.0,0
2023,Losail,2023-07-15 00:00:00,28.6,35.9,25.3,41.8,0.0,19.5,240.1,1027.4,0
2023,Mexico City,2023-08-01 00:00:00,18.6,21.4,16.3,53.4,0.0,10.8,239.3,1035.5,0
2023,Miami,2023-04-08 00:00:00,30.3,34.3,28.0,52.2,0.0,1.0,3.5,998.0,0
2023,Monaco,2023-04-22 00:00:00,20.3,26.7,16.4,39.7,0.0,17.4,42.4,1004.4,0
2023,Montreal,2023-05-08 00:00:00,29.2,31.5,26.9,59.3,0.0,19.6,243.6,1021.6,0
2023,Monza,2023-06-22 00:00:00,27.8,32.2,24.0,35.6,0.0,19.1,304.0,1004.5,0
2023,Red Bull Ring,2023-05-15 00:00:00,27.2,34.2,22.2,26.3,0.0,15.8,318.4,1002.9,0
2023,Silverstone,2023-05-22 00:00:00,27.9,34.9,22.1,29.9,0.0,25.8,196.2,1006.4,0
2023,Singapore,2023-07-01 00:00:00,19.4,21.7,13.5,26.6,0.0,17.2,42.9,1009.9,0
2023,Spa,2023-06-08 00:00:00,26.8,32.8,24.2,73.3,0.0,18.0,168.3,1024.3,0
2023,Suzuka,2023-07-08 00:00:00,19.6,24.6,16.6,52.1,0.0,11.4,194.7,1029.6,0
2023,Yas Marina,2023-08-22 00:00:00,24.3,29.8,18.5,66.3,0.0,12.7,32.4,1008.8,0
2023,Zandvoort,2023-06-15 00:00:00,29.1,34.9,25.9,76.9,0.0,17.9,254.3,991.4,0
2024,Albert Park,2024-03-22 00:00:00,22.2,25.7,18.1,40.2,0.0,8.3,313.0,996.4,0
2024,Austin,2024-07-22 00:00:00,27.3,30.6,21.7,26.2,0.0,22.8,296.8,1015.6,0
2024,Bahrain,2024-03-08 00:00:00,34.5,37.1,29.0,47.6,0.0,9.7,178.0,1009.5,0
2024,Baku,2024-07-08 00:00:00,18.8,26.0,15.8,83.7,0.0,19.6,211.9,1015.9,0
2024,Barcelona,2024-05-15 00:00:00,31.4,33.5,26.0,30.9,0.0,23.2,339.9,1012.3,0
2024,Hungaroring,2024-06-08 00:00:00,33.9,37.2,29.0,36.8,0.0,12.4,146.1,1003.0,0
2024,Imola,2024-04-22 00:00:00,11.6,14.3,7.5,62.0,0.0,12.7,321.2,1017.5,0
2024,Interlagos,2024-08-08 00:00:00,22.4,27.1,17.9,62.4,0.0,8.4,57.1,1007.7,0
2024,Jeddah,2024-03-15 00:00:00,19.0,26.7,15.4,63.1,0.0,19.6,81.5,1016.8,0
2024,Las Vegas,2024-08-15 00:00:00,32.2,40.2,29.3,73.0,0.0,17.8,267.2,1005.8,0
2024,Losail,2024-08-22 00:00:00,20.8,24.3,15.7,71.7,0.0,10.3,96.2,1010.4,0
2024,Mexico City,2024-08-01 00:00:00,18.1,20.6,13.3,55.4,0.0,4.8,228.0,1018.2,0
2024,Miami,2024-04-15 00:00:00,32.8,40.8,29.3,54.2,0.0,12.6,201.4,1011.0,0
2024,Monaco,2024-05-01 00:00:00,27.0,31.8,21.2,65.5,0.0,19.3,45.1,1017.4,0
2024,Montreal,2024-05-08 00:00:00,21.8,26.5,16.1,67.5,0.0,19.1,58.3,1023.0,0
2024,Monza,2024-07-01 00:00:00,19.3,22.3,14.1,70.4,0.0,18.2,118.1,1018.3,0
2024,Red Bull Ring,2024-05-22 00:00:00,39.5,44.1,34.9,79.3,0.0,21.4,68.9,1015.0,0
2024,Shanghai,2024-04-08 00:00:00,28.7,30.8,23.1,58.4,0.0,18.4,291.3,1033.8,0
2024,Silverstone,2024-06-01 00:00:00,20.2,27.2,17.0,51.9,0.0,2.6,73.8,1014.6,0
2024,Singapore,2024-07-15 00:00:00,29.8,34.2,24.2,40.8,0.0,6.4,118.9,1023.2,0
2024,Spa,2024-06-15 00:00:00,26.0,30.7,22.9,47.8,0.0,14.6,279.9,1009.7,0
2024,Suzuka,2024-04-01 00:00:00,12.0,19.3,8.9,64.2,0.0,14.4,16.8,1016.3,0
2024,Yas Marina,2024-09-01 00:00:00,25.8,32.1,21.4,50.6,0.4,19.7,343.4,1024.9,0
2024,Zandvoort,2024-06-22 00:00:00,28.4,36.3,23.7,51.1,0.0,21.1,222.3,1028.6,0
2025,Albert Park,2025-03-08 00:00:00,23.7,29.3,18.6,76.0,0.0,25.4,95.0,1012.2,0
2025,Austin,2025-07-22 00:00:00,25.4,28.0,21.4,35.3,0.0,25.6,72.9,1027.6,0
2025,Bahrain,2025-04-01 00:00:00,29.4,31.9,25.8,86.6,0.0,2.5,107.2,1021.1,0
2025,Baku,2025-07-08 00:00:00,15.8,20.2,10.5,61.6,0.0,7.2,306.7,1007.8,0
2025,Barcelona,2025-05-08 00:00:00,23.8,26.4,21.5,41.8,0.0,7.2,67.7,1020.2,0
2025,Hungaroring,2025-06-15 00:00:00,36.1,40.1,32.0,44.2,0.0,11.8,151.1,1020.4,0
2025,Imola,2025-04-22 00:00:00,33.3,39.5,30.5,37.1,0.0,17.6,263.4,1019.3,0
2025,Interlagos,2025-08-08 00:00:00,32.6,40.0,27.9,37.6,0.3,10.9,280.2,1012.0,0
2025,Jeddah,2025-04-08 00:00:00,17.5,23.1,12.4,78.1,0.0,21.9,191.6,999.2,0
2025,Las Vegas,2025-08-15 00:00:00,24.0,29.3,18.7,56.9,0.0,12.0,265.8,1010.4,0
2025,Losail,2025-08-22 00:00:00,24.8,27.3,20.3,24.5,0.0,27.1,34.9,1030.9,0
2025,Mexico City,2025-08-01 00:00:00,24.4,31.5,21.6,25.7,0.0,3.9,175.8,1027.2,0
2025,Miami,2025-04-15 00:00:00,39.8,46.7,34.9,82.1,0.3,0.0,335.6,1023.4,0
2025,Monaco,2025-05-01 00:00:00,22.1,28.1,17.4,47.0,0.0,5.4,29.3,1020.8,0
2025,Montreal,2025-05-15 00:00:00,19.9,25.6,15.3,75.1,0.0,17.3,78.2,1010.2,0
2025,Monza,2025-07-01 00:00:00,33.9,40.3,31.4,45.8,0.0,10.3,296.1,1018.5,0
2025,Red Bull Ring,2025-05-22 00:00:00,28.0,33.8,24.5,56.9,0.1,16.7,19.2,1023.3,0
2025,Shanghai,2025-03-15 00:00:00,17.8,19.9,15.7,50.8,0.0,11.4,190.4,1020.0,0
2025,Silverstone,2025-06-01 00:00:00,22.5,24.5,18.3,73.6,0.0,16.6,62.9,1022.6,0
2025,Singapore,2025-07-15 00:00:00,23.3,26.3,19.7,78.7,0.0,6.8,193.5,1005.5,0
2025,Spa,2025-06-08 00:00:00,24.5,27.2,19.7,70.3,0.0,18.0,342.4,1022.2,0
2025,Suzuka,2025-03-22 00:00:00,-0.6,3.3,-6.6,34.7,0.0,10.3,58.2,1001.1,0
2025,Yas Marina,2025-09-01 00:00:00,24.9,31.0,19.6,31.8,0.0,12.7,97.9,1023.5,0
2025,Zandvoort,2025-06-22 00:00:00,21.4,26.4,18.7,82.2,0.0,15.1,324.6,1022.6,0
